"filename","id","refseq_species","ANI_species_group","fabv_detected","type_strain","total_contigs","total_length","N50","Completeness","Contamination","overall_quality","refseq_description"
"GCF_001449325.1_WH-SGI-V-07070_genomic.fna","NZ_LLLK01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,42,6350475,478892,100,0.08,99.6,"Pseudomonas aeruginosa strain WH-SGI-V-07070 WH-SGI-V-07070_contig1, whole genome shotgun sequence"
"GCF_001449345.1_WH-SGI-V-07062_genomic.fna","NZ_LLLM01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,83,6437550,226769,99.68,0.78,95.78,"Pseudomonas aeruginosa strain WH-SGI-V-07062 WH-SGI-V-07062_contig1, whole genome shotgun sequence"
"GCF_001449365.1_WH-SGI-V-07051_genomic.fna","NZ_LLLO01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,96,6834417,242015,99.68,0.15,98.93,"Pseudomonas aeruginosa strain WH-SGI-V-07051 WH-SGI-V-07051_contig1, whole genome shotgun sequence"
"GCF_001449395.1_WH-SGI-V-07066_genomic.fna","NZ_LLLQ01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,59,6889008,376079,99.68,0.4,97.68,"Pseudomonas aeruginosa strain WH-SGI-V-07066 WH-SGI-V-07066_contig1, whole genome shotgun sequence"
"GCF_001449425.1_WH-SGI-V-07069_genomic.fna","NZ_LLLR01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,44,6329829,727468,99.68,0.08,99.28,"Pseudomonas aeruginosa strain WH-SGI-V-07069 WH-SGI-V-07069_contig1, whole genome shotgun sequence"
"GCF_001449435.1_WH-SGI-V-07050_genomic.fna","NZ_LLLT01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,39,6332960,492174,99.57,0.08,99.17,"Pseudomonas aeruginosa strain WH-SGI-V-07050 WH-SGI-V-07050_contig1, whole genome shotgun sequence"
"GCF_001449485.1_WH-SGI-V-07166_genomic.fna","NZ_LLLV01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,52,6700944,265885,99.68,0.36,97.88,"Pseudomonas aeruginosa strain WH-SGI-V-07166 WH-SGI-V-07166_contig1, whole genome shotgun sequence"
"GCF_001449505.1_WH-SGI-V-07167_genomic.fna","NZ_LLLW01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,86,6989896,317833,99.68,0.96,94.88,"Pseudomonas aeruginosa strain WH-SGI-V-07167 WH-SGI-V-07167_contig1, whole genome shotgun sequence"
"GCF_001449515.1_WH-SGI-V-07168_genomic.fna","NZ_LLLX01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,73,6949422,260161,99.68,0.08,99.28,"Pseudomonas aeruginosa strain WH-SGI-V-07168 WH-SGI-V-07168_contig1, whole genome shotgun sequence"
"GCF_001449545.1_WH-SGI-V-07169_genomic.fna","NZ_LLLY01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,153,7326178,164113,99.68,0.78,95.78,"Pseudomonas aeruginosa strain WH-SGI-V-07169 WH-SGI-V-07169_contig1, whole genome shotgun sequence"
"GCF_001449555.1_WH-SGI-V-07171_genomic.fna","NZ_LLMA01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,73,7011772,265906,99.68,0.08,99.28,"Pseudomonas aeruginosa strain WH-SGI-V-07171 WH-SGI-V-07171_contig1, whole genome shotgun sequence"
"GCF_001449585.1_WH-SGI-V-07172_genomic.fna","NZ_LLMB01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,75,7082122,258209,99.68,0.5,97.18,"Pseudomonas aeruginosa strain WH-SGI-V-07172 WH-SGI-V-07172_contig1, whole genome shotgun sequence"
"GCF_001449605.1_WH-SGI-V-07174_genomic.fna","NZ_LLMD01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,94,7240163,260208,99.68,0.08,99.28,"Pseudomonas aeruginosa strain WH-SGI-V-07174 WH-SGI-V-07174_contig1, whole genome shotgun sequence"
"GCF_001449625.1_WH-SGI-V-07175_genomic.fna","NZ_LLME01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,70,7017562,260205,99.68,0.08,99.28,"Pseudomonas aeruginosa strain WH-SGI-V-07175 WH-SGI-V-07175_contig1, whole genome shotgun sequence"
"GCF_001449645.1_WH-SGI-V-07177_genomic.fna","NZ_LLMG01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,103,6739848,204711,99.68,0.77,95.83,"Pseudomonas aeruginosa strain WH-SGI-V-07177 WH-SGI-V-07177_contig1, whole genome shotgun sequence"
"GCF_001449655.1_WH-SGI-V-07178_genomic.fna","NZ_LLMH01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,106,6771816,264968,99.68,0.55,96.93,"Pseudomonas aeruginosa strain WH-SGI-V-07178 WH-SGI-V-07178_contig1, whole genome shotgun sequence"
"GCF_001449675.1_WH-SGI-V-07180_genomic.fna","NZ_LLMJ01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,78,6933269,260216,99.68,0.08,99.28,"Pseudomonas aeruginosa strain WH-SGI-V-07180 WH-SGI-V-07180_contig1, whole genome shotgun sequence"
"GCF_001449705.1_WH-SGI-V-07221_genomic.fna","NZ_LLMK01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,92,7001598,260194,99.68,0.08,99.28,"Pseudomonas aeruginosa strain WH-SGI-V-07221 WH-SGI-V-07221_contig1, whole genome shotgun sequence"
"GCF_001449725.1_WH-SGI-V-07181_genomic.fna","NZ_LLML01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,101,6855966,225121,99.36,0.08,98.96,"Pseudomonas aeruginosa strain WH-SGI-V-07181 WH-SGI-V-07181_contig1, whole genome shotgun sequence"
"GCF_001449735.1_WH-SGI-V-07184_genomic.fna","NZ_LLMO01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,52,6459645,385016,100,0.08,99.6,"Pseudomonas aeruginosa strain WH-SGI-V-07184 WH-SGI-V-07184_contig1, whole genome shotgun sequence"
"GCF_001449765.1_WH-SGI-V-07186_genomic.fna","NZ_LLMQ01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,102,6736792,203897,99.68,0.77,95.83,"Pseudomonas aeruginosa strain WH-SGI-V-07186 WH-SGI-V-07186_contig1, whole genome shotgun sequence"
"GCF_001449785.1_WH-SGI-V-07187_genomic.fna","NZ_LLMR01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,51,6314662,429396,99.68,0.08,99.28,"Pseudomonas aeruginosa strain WH-SGI-V-07187 WH-SGI-V-07187_contig1, whole genome shotgun sequence"
"GCF_001449805.1_WH-SGI-V-07188_genomic.fna","NZ_LLMS01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,63,6722093,350381,99.68,0.23,98.53,"Pseudomonas aeruginosa strain WH-SGI-V-07188 WH-SGI-V-07188_contig1, whole genome shotgun sequence"
"GCF_001449825.1_WH-SGI-V-07223_genomic.fna","NZ_LLMU01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,58,6661524,470007,99.68,0.13,99.03,"Pseudomonas aeruginosa strain WH-SGI-V-07223 WH-SGI-V-07223_contig1, whole genome shotgun sequence"
"GCF_001449835.1_WH-SGI-V-07225_genomic.fna","NZ_LLMW01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,98,6895876,320552,99.68,0.1,99.18,"Pseudomonas aeruginosa strain WH-SGI-V-07225 WH-SGI-V-07225_contig1, whole genome shotgun sequence"
"GCF_001449865.1_WH-SGI-V-07226_genomic.fna","NZ_LLMX01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,42,6288684,444001,99.36,0.08,98.96,"Pseudomonas aeruginosa strain WH-SGI-V-07226 WH-SGI-V-07226_contig1, whole genome shotgun sequence"
"GCF_001449885.1_WH-SGI-V-07268_genomic.fna","NZ_LLMZ01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,38,6540483,511577,99.68,0.11,99.13,"Pseudomonas aeruginosa strain WH-SGI-V-07228 WH-SGI-V-07228_contig1, whole genome shotgun sequence"
"GCF_001449905.1_WH-SGI-V-07229_genomic.fna","NZ_LLNA01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,88,6801263,243570,99.57,0.39,97.62,"Pseudomonas aeruginosa strain WH-SGI-V-07229 WH-SGI-V-07229_contig1, whole genome shotgun sequence"
"GCF_001449925.1_WH-SGI-V-07231_genomic.fna","NZ_LLNC01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,72,6598810,286702,99.68,0.08,99.28,"Pseudomonas aeruginosa strain WH-SGI-V-07231 WH-SGI-V-07231_contig1, whole genome shotgun sequence"
"GCF_001449935.1_WH-SGI-V-07232_genomic.fna","NZ_LLND01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,66,6769133,273648,99.68,0.08,99.28,"Pseudomonas aeruginosa strain WH-SGI-V-07232 WH-SGI-V-07232_contig1, whole genome shotgun sequence"
"GCF_001449985.1_WH-SGI-V-07235_genomic.fna","NZ_LLNG01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,73,6774834,467974,99.68,0.45,97.43,"Pseudomonas aeruginosa strain WH-SGI-V-07235 WH-SGI-V-07235_contig1, whole genome shotgun sequence"
"GCF_001450005.1_WH-SGI-V-07237_genomic.fna","NZ_LLNI01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,117,7442640,192498,99.68,1.51,92.13,"Pseudomonas aeruginosa strain WH-SGI-V-07237 WH-SGI-V-07237_contig1, whole genome shotgun sequence"
"GCF_001450015.1_WH-SGI-V-07238_genomic.fna","NZ_LLNJ01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,53,6845048,479668,99.68,0.43,97.53,"Pseudomonas aeruginosa strain WH-SGI-V-07238 WH-SGI-V-07238_contig1, whole genome shotgun sequence"
"GCF_001450045.1_WH-SGI-V-07240_genomic.fna","NZ_LLNL01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,125,7468923,250949,99.04,0.77,95.19,"Pseudomonas aeruginosa strain WH-SGI-V-07240 WH-SGI-V-07240_contig1, whole genome shotgun sequence"
"GCF_001450065.1_WH-SGI-V-07243_genomic.fna","NZ_LLNO01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,64,6439760,311986,99.04,0.46,96.74,"Pseudomonas aeruginosa strain WH-SGI-V-07243 WH-SGI-V-07243_contig1, whole genome shotgun sequence"
"GCF_001450085.1_WH-SGI-V-07244_genomic.fna","NZ_LLNP01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,72,6725205,227633,99.68,0.13,99.03,"Pseudomonas aeruginosa strain WH-SGI-V-07244 WH-SGI-V-07244_contig1, whole genome shotgun sequence"
"GCF_001450095.1_WH-SGI-V-07245_genomic.fna","NZ_LLNQ01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,36,6829345,642280,99.68,0.08,99.28,"Pseudomonas aeruginosa strain WH-SGI-V-07245 WH-SGI-V-07245_contig1, whole genome shotgun sequence"
"GCF_001450115.1_WH-SGI-V-07368_genomic.fna","NZ_LLNS01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,78,6810394,233435,99.68,0.4,97.68,"Pseudomonas aeruginosa strain WH-SGI-V-07368 WH-SGI-V-07368_contig1, whole genome shotgun sequence"
"GCF_001450145.1_WH-SGI-V-07369_genomic.fna","NZ_LLNT01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,123,7062053,140614,99.68,0.64,96.48,"Pseudomonas aeruginosa strain WH-SGI-V-07369 WH-SGI-V-07369_contig1, whole genome shotgun sequence"
"GCF_001450185.1_WH-SGI-V-07372_genomic.fna","NZ_LLNW01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,55,6455414,355396,99.68,0.08,99.28,"Pseudomonas aeruginosa strain WH-SGI-V-07372 WH-SGI-V-07372_contig1, whole genome shotgun sequence"
"GCF_001450195.1_WH-SGI-V-07374_genomic.fna","NZ_LLNY01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,116,6783717,250546,99.68,0.45,97.43,"Pseudomonas aeruginosa strain WH-SGI-V-07374 WH-SGI-V-07374_contig1, whole genome shotgun sequence"
"GCF_001450225.1_WH-SGI-V-07375_genomic.fna","NZ_LLNZ01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,45,6348477,399346,99.68,0.08,99.28,"Pseudomonas aeruginosa strain WH-SGI-V-07375 WH-SGI-V-07375_contig1, whole genome shotgun sequence"
"GCF_001450245.1_WH-SGI-V-07377_genomic.fna","NZ_LLOB01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,31,6398318,513156,99.68,0.08,99.28,"Pseudomonas aeruginosa strain WH-SGI-V-07377 WH-SGI-V-07377_contig1, whole genome shotgun sequence"
"GCF_001450265.1_WH-SGI-V-07378_genomic.fna","NZ_LLOC01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,131,7468186,188844,99.68,2.16,88.88,"Pseudomonas aeruginosa strain WH-SGI-V-07378 WH-SGI-V-07378_contig1, whole genome shotgun sequence"
"GCF_001450275.1_WH-SGI-V-07379_genomic.fna","NZ_LLOD01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,99,7083578,235438,99.68,0.48,97.28,"Pseudomonas aeruginosa strain WH-SGI-V-07379 WH-SGI-V-07379_contig1, whole genome shotgun sequence"
"GCF_001450305.1_WH-SGI-V-07380_genomic.fna","NZ_LLOE01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,77,6373909,411556,99.68,0.08,99.28,"Pseudomonas aeruginosa strain WH-SGI-V-07380 WH-SGI-V-07380_contig1, whole genome shotgun sequence"
"GCF_001450325.1_WH-SGI-V-07056_genomic.fna","NZ_LLKW01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,50,6364652,373772,99.68,0.08,99.28,"Pseudomonas aeruginosa strain WH-SGI-V-07056 WH-SGI-V-07056_contig1, whole genome shotgun sequence"
"GCF_001450345.1_WH-SGI-V-07053_genomic.fna","NZ_LLKX01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,57,6326347,456509,99.68,0.08,99.28,"Pseudomonas aeruginosa strain WH-SGI-V-07053 WH-SGI-V-07053_contig1, whole genome shotgun sequence"
"GCF_001450385.1_WH-SGI-V-07065_genomic.fna","NZ_LLLC01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,69,6909054,341236,99.68,0.49,97.23,"Pseudomonas aeruginosa strain WH-SGI-V-07065 WH-SGI-V-07065_contig1, whole genome shotgun sequence"
"GCF_001450405.1_WH-SGI-V-07067_genomic.fna","NZ_LLLF01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,60,6729131,318643,99.68,1.31,93.13,"Pseudomonas aeruginosa strain WH-SGI-V-07067 WH-SGI-V-07067_contig1, whole genome shotgun sequence"
"GCF_001450425.1_WH-SGI-V-07054_genomic.fna","NZ_LLLI01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,74,6608235,221880,99.68,0.08,99.28,"Pseudomonas aeruginosa strain WH-SGI-V-07054 WH-SGI-V-07054_contig1, whole genome shotgun sequence"
"GCF_001450435.1_WH-SGI-V-07061_genomic.fna","NZ_LLLL01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,87,6398144,249036,99.68,0.46,97.38,"Pseudomonas aeruginosa strain WH-SGI-V-07061 WH-SGI-V-07061_contig1, whole genome shotgun sequence"
"GCF_001450485.1_WH-SGI-V-07059_genomic.fna","NZ_LLLS01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,70,7103752,314615,99.68,0.22,98.58,"Pseudomonas aeruginosa strain WH-SGI-V-07059 WH-SGI-V-07059_contig1, whole genome shotgun sequence"
"GCF_001450505.1_WH-SGI-V-07170_genomic.fna","NZ_LLLZ01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,88,6803659,235701,99.68,0.08,99.28,"Pseudomonas aeruginosa strain WH-SGI-V-07170 WH-SGI-V-07170_contig1, whole genome shotgun sequence"
"GCF_001450525.1_WH-SGI-V-07173_genomic.fna","NZ_LLMC01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,88,7105167,260188,99.68,0.08,99.28,"Pseudomonas aeruginosa strain WH-SGI-V-07173 WH-SGI-V-07173_contig1, whole genome shotgun sequence"
"GCF_001450545.1_WH-SGI-V-07176_genomic.fna","NZ_LLMF01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,95,6712236,211384,99.68,0.77,95.83,"Pseudomonas aeruginosa strain WH-SGI-V-07176 WH-SGI-V-07176_contig1, whole genome shotgun sequence"
"GCF_001450555.1_WH-SGI-V-07179_genomic.fna","NZ_LLMI01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,47,6668395,349795,99.68,0.2,98.68,"Pseudomonas aeruginosa strain WH-SGI-V-07179 WH-SGI-V-07179_contig1, whole genome shotgun sequence"
"GCF_001450585.1_WH-SGI-V-07182_genomic.fna","NZ_LLMM01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,76,6705155,230586,99.68,0.55,96.93,"Pseudomonas aeruginosa strain WH-SGI-V-07182 WH-SGI-V-07182_contig1, whole genome shotgun sequence"
"GCF_001450605.1_WH-SGI-V-07183_genomic.fna","NZ_LLMN01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,81,7109657,311470,99.68,0.22,98.58,"Pseudomonas aeruginosa strain WH-SGI-V-07183 WH-SGI-V-07183_contig1, whole genome shotgun sequence"
"GCF_001450635.1_WH-SGI-V-07222_genomic.fna","NZ_LLMT01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,82,6664858,418256,99.68,0.08,99.28,"Pseudomonas aeruginosa strain WH-SGI-V-07222 WH-SGI-V-07222_contig1, whole genome shotgun sequence"
"GCF_001450665.1_WH-SGI-V-07224_genomic.fna","NZ_LLMV01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,64,6792655,240329,99.68,0.19,98.73,"Pseudomonas aeruginosa strain WH-SGI-V-07224 WH-SGI-V-07224_contig1, whole genome shotgun sequence"
"GCF_001450675.1_WH-SGI-V-07227_genomic.fna","NZ_LLMY01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,87,7048253,245663,99.62,0.53,96.97,"Pseudomonas aeruginosa strain WH-SGI-V-07227 WH-SGI-V-07227_contig1, whole genome shotgun sequence"
"GCF_001450705.1_WH-SGI-V-07230_genomic.fna","NZ_LLNB01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,52,6580591,513813,99.68,0.11,99.13,"Pseudomonas aeruginosa strain WH-SGI-V-07230 WH-SGI-V-07230_contig1, whole genome shotgun sequence"
"GCF_001450715.1_WH-SGI-V-07233_genomic.fna","NZ_LLNE01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,26,5836149,601207,99.68,0.08,99.28,"Pseudomonas aeruginosa strain WH-SGI-V-07233 WH-SGI-V-07233_contig1, whole genome shotgun sequence"
"GCF_001450745.1_WH-SGI-V-07236_genomic.fna","NZ_LLNH01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,39,6288655,421260,99.68,0.1,99.18,"Pseudomonas aeruginosa strain WH-SGI-V-07236 WH-SGI-V-07236_contig1, whole genome shotgun sequence"
"GCF_001450755.1_WH-SGI-V-07239_genomic.fna","NZ_LLNK01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,70,6784566,243745,99.68,0.56,96.88,"Pseudomonas aeruginosa strain WH-SGI-V-07239 WH-SGI-V-07239_contig1, whole genome shotgun sequence"
"GCF_001450785.1_WH-SGI-V-07242_genomic.fna","NZ_LLNN01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,67,6991814,309778,99.68,0.08,99.28,"Pseudomonas aeruginosa strain WH-SGI-V-07242 WH-SGI-V-07242_contig1, whole genome shotgun sequence"
"GCF_001450795.1_WH-SGI-V-07246_genomic.fna","NZ_LLNR01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,119,6949144,188202,99.68,0.13,99.03,"Pseudomonas aeruginosa strain WH-SGI-V-07246 WH-SGI-V-07246_contig1, whole genome shotgun sequence"
"GCF_001450825.1_WH-SGI-V-07371_genomic.fna","NZ_LLNV01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,98,6934754,178406,99.68,0.55,96.93,"Pseudomonas aeruginosa strain WH-SGI-V-07371 WH-SGI-V-07371_contig1, whole genome shotgun sequence"
"GCF_001450835.1_WH-SGI-V-07373_genomic.fna","NZ_LLNX01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,45,6330877,287517,99.68,0.08,99.28,"Pseudomonas aeruginosa strain WH-SGI-V-07373 WH-SGI-V-07373_contig1, whole genome shotgun sequence"
"GCF_001450865.1_WH-SGI-V-07376_genomic.fna","NZ_LLOA01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,67,6696069,276575,99.68,0.29,98.23,"Pseudomonas aeruginosa strain WH-SGI-V-07376 WH-SGI-V-07376_contig1, whole genome shotgun sequence"
"GCF_001450875.1_WH-SGI-V-07382_genomic.fna","NZ_LLOG01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,84,6896869,435133,99.68,0.08,99.28,"Pseudomonas aeruginosa strain WH-SGI-V-07382 WH-SGI-V-07382_contig1, whole genome shotgun sequence"
"GCF_001450905.1_WH-SGI-V-07385_genomic.fna","NZ_LLOJ01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,121,7021977,212861,99.68,0.45,97.43,"Pseudomonas aeruginosa strain WH-SGI-V-07385 WH-SGI-V-07385_contig1, whole genome shotgun sequence"
"GCF_001450915.1_WH-SGI-V-07384_genomic.fna","NZ_LLOI01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,108,7084303,203641,99.68,0.54,96.98,"Pseudomonas aeruginosa strain WH-SGI-V-07384 WH-SGI-V-07384_contig1, whole genome shotgun sequence"
"GCF_001450925.1_WH-SGI-V-07381_genomic.fna","NZ_LLOF01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,108,6825515,245949,99.68,0.08,99.28,"Pseudomonas aeruginosa strain WH-SGI-V-07381 WH-SGI-V-07381_contig1, whole genome shotgun sequence"
"GCF_001450935.1_WH-SGI-V-07241_genomic.fna","NZ_LLNM01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,61,6713815,275567,99.68,0.08,99.28,"Pseudomonas aeruginosa strain WH-SGI-V-07241 WH-SGI-V-07241_contig1, whole genome shotgun sequence"
"GCF_001450985.1_WH-SGI-V-07386_genomic.fna","NZ_LLOK01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,68,6785552,352955,99.68,0.08,99.28,"Pseudomonas aeruginosa strain WH-SGI-V-07386 WH-SGI-V-07386_contig1, whole genome shotgun sequence"
"GCF_001450995.1_WH-SGI-V-07387_genomic.fna","NZ_LLOL01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,64,6559031,289481,99.68,0.1,99.18,"Pseudomonas aeruginosa strain WH-SGI-V-07387 WH-SGI-V-07387_contig1, whole genome shotgun sequence"
"GCF_001451015.1_WH-SGI-V-07389_genomic.fna","NZ_LLON01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,87,6716907,177053,99.68,0.08,99.28,"Pseudomonas aeruginosa strain WH-SGI-V-07389 WH-SGI-V-07389_contig1, whole genome shotgun sequence"
"GCF_001451025.1_WH-SGI-V-07390_genomic.fna","NZ_LLOO01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,86,6717900,186073,99.68,0.08,99.28,"Pseudomonas aeruginosa strain WH-SGI-V-07390 WH-SGI-V-07390_contig1, whole genome shotgun sequence"
"GCF_001451065.1_WH-SGI-V-07392_genomic.fna","NZ_LLOQ01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,115,7006089,198540,99.68,0.65,96.43,"Pseudomonas aeruginosa strain WH-SGI-V-07392 WH-SGI-V-07392_contig1, whole genome shotgun sequence"
"GCF_001451075.1_WH-SGI-V-07391_genomic.fna","NZ_LLOP01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,79,6975031,223895,99.68,0.08,99.28,"Pseudomonas aeruginosa strain WH-SGI-V-07391 WH-SGI-V-07391_contig1, whole genome shotgun sequence"
"GCF_001451105.1_WH-SGI-V-07405_genomic.fna","NZ_LLOS01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,66,6468311,342318,99.68,0.08,99.28,"Pseudomonas aeruginosa strain WH-SGI-V-07405 WH-SGI-V-07405_contig1, whole genome shotgun sequence"
"GCF_001451125.1_WH-SGI-V-07406_genomic.fna","NZ_LLOT01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,57,6842687,380521,99.68,0.45,97.43,"Pseudomonas aeruginosa strain WH-SGI-V-07406 WH-SGI-V-07406_contig1, whole genome shotgun sequence"
"GCF_001451145.1_WH-SGI-V-07407_genomic.fna","NZ_LLOU01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,68,6713047,255927,99.68,0.08,99.28,"Pseudomonas aeruginosa strain WH-SGI-V-07407 WH-SGI-V-07407_contig1, whole genome shotgun sequence"
"GCF_001451165.1_WH-SGI-V-07411_genomic.fna","NZ_LLOY01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,59,6583867,242743,99.68,0.43,97.53,"Pseudomonas aeruginosa strain WH-SGI-V-07411 WH-SGI-V-07411_contig1, whole genome shotgun sequence"
"GCF_001451175.1_WH-SGI-V-07413_genomic.fna","NZ_LLPA01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,48,6295199,425643,99.36,0.08,98.96,"Pseudomonas aeruginosa strain WH-SGI-V-07413 WH-SGI-V-07413_contig1, whole genome shotgun sequence"
"GCF_001451205.1_WH-SGI-V-07414_genomic.fna","NZ_LLPB01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,68,6783942,352101,99.68,0.08,99.28,"Pseudomonas aeruginosa strain WH-SGI-V-07414 WH-SGI-V-07414_contig1, whole genome shotgun sequence"
"GCF_001451225.1_WH-SGI-V-07415_genomic.fna","NZ_LLPC01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,88,6658495,317908,96.5,0.62,93.4,"Pseudomonas aeruginosa strain WH-SGI-V-07415 WH-SGI-V-07415_contig1, whole genome shotgun sequence"
"GCF_001451245.1_WH-SGI-V-07383_genomic.fna","NZ_LLOH01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,70,6991434,316537,99.68,0.45,97.43,"Pseudomonas aeruginosa strain WH-SGI-V-07383 WH-SGI-V-07383_contig1, whole genome shotgun sequence"
"GCF_001451255.1_WH-SGI-V-07388_genomic.fna","NZ_LLOM01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,111,6906049,203051,99.68,0.08,99.28,"Pseudomonas aeruginosa strain WH-SGI-V-07388 WH-SGI-V-07388_contig1, whole genome shotgun sequence"
"GCF_001451265.1_WH-SGI-V-07404_genomic.fna","NZ_LLOR01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,105,6681096,202872,99.68,0.08,99.28,"Pseudomonas aeruginosa strain WH-SGI-V-07404 WH-SGI-V-07404_contig1, whole genome shotgun sequence"
"GCF_001451295.1_WH-SGI-V-07408_genomic.fna","NZ_LLOV01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,62,6672717,255773,99.68,0.08,99.28,"Pseudomonas aeruginosa strain WH-SGI-V-07408 WH-SGI-V-07408_contig1, whole genome shotgun sequence"
"GCF_001451325.1_WH-SGI-V-07410_genomic.fna","NZ_LLOX01000001.1","pseudomonas_aeruginosa","aeruginosa",1,0,45,6363172,444784,99.68,0.08,99.28,"Pseudomonas aeruginosa strain WH-SGI-V-07410 WH-SGI-V-07410_contig1, whole genome shotgun sequence"
